activity_id,start_latitude,start_longitude,end_latitude,end_longitude,travel_purpose,start_time,end_time,duration_minutes,distance_miles,start_hour,same_place,day
1.66E+19,42.372127,-71.086885,42.38829299,-71.12392811,EAT,10/11/22 0:21,10/11/22 0:28,6,2.92798766,0,No,1
1.69E+19,42.370282,-71.118519,42.372069,-71.11994,EAT,10/11/22 0:59,10/11/22 1:01,2,0.690559754,0,No,1
1.60E+19,42.373092,-71.119396,42.37769,-71.113837,EAT,10/11/22 0:59,10/11/22 1:00,1,0.739430676,0,No,1
2.44E+18,42.369111,-71.109872,42.37241865,-71.11631325,EAT,10/11/22 3:29,10/11/22 3:31,1,0.589904216,3,No,1
1.48E+19,42.389247,-71.120337,42.38225684,-71.12309321,EAT,10/11/22 4:28,10/11/22 4:40,12,0.639368692,4,No,1
1.09E+19,42.364343,-71.102333,42.35758676,-71.10748926,EAT,10/11/22 4:46,10/11/22 5:02,15,0.808987457,4,No,1
1.05E+19,42.368019,-71.075326,42.36266152,-71.10507469,EAT,10/11/22 4:57,10/11/22 5:02,5,2.767677058,4,No,1
1.32E+19,42.372708,-71.116945,42.37220657,-71.08187541,EAT,10/11/22 5:02,10/11/22 5:08,5,2.369825061,5,No,1
2.84E+18,42.374189,-71.121151,42.3592099,-71.1108903,EAT,10/11/22 5:08,10/11/22 5:14,6,2.664530944,5,No,1
1.72E+19,42.373154,-71.095093,42.37073626,-71.0980117,EAT,10/11/22 5:20,10/11/22 5:26,5,0.293002417,5,No,1
1.32E+19,42.361649,-71.09047,42.36321885,-71.08768485,EAT,10/11/22 5:23,10/11/22 5:24,1,0.061299567,5,No,1
1.14E+19,42.373154,-71.095093,42.37015938,-71.09937807,EAT,10/11/22 5:28,10/11/22 5:32,4,0.773866135,5,No,1
7.20E+18,42.361649,-71.09047,42.360623,-71.08743,EAT,10/11/22 5:30,10/11/22 5:33,2,0.133294398,5,No,1
8.14E+18,42.372708,-71.116945,42.37241865,-71.11631325,EAT,10/11/22 5:34,10/11/22 5:36,1,0.059389902,5,No,1
1.71E+19,42.373154,-71.095093,42.36959191,-71.10712891,EAT,10/11/22 5:36,10/11/22 5:38,2,0.890723729,5,No,1
1.48E+19,42.373154,-71.095093,42.36877116,-71.08906396,EAT,10/11/22 5:38,10/11/22 5:55,17,0.887174376,5,No,1
1.09E+19,42.361649,-71.09047,42.365952,-71.082562,EAT,10/11/22 5:38,10/11/22 5:41,2,1.090699643,5,No,1
4.76E+18,42.361649,-71.09047,42.365952,-71.082562,EAT,10/11/22 5:38,10/11/22 5:50,11,0.607072992,5,No,1
1.26E+19,42.361649,-71.09047,42.35731286,-71.09384526,EAT,10/11/22 5:44,10/11/22 5:46,2,1.020802047,5,No,1
1.09E+19,42.373154,-71.095093,42.36580943,-71.09618056,EAT,10/11/22 5:45,10/11/22 5:46,1,0.593863545,5,No,1
5.09E+18,42.361329,-71.096228,42.36284921,-71.09995581,EAT,10/11/22 5:50,10/11/22 5:53,3,0.175620012,5,No,1
1.16E+19,42.364512,-71.082035,42.3672754,-71.0861518,EAT,10/11/22 5:51,10/11/22 5:55,3,0.204043022,5,No,1
5.05E+18,42.372246,-71.07982,42.37180642,-71.07753522,EAT,10/11/22 5:51,10/11/22 5:54,2,0.127796211,5,No,1
1.55E+19,42.364512,-71.082035,42.369565,-71.097672,EAT,10/11/22 5:52,10/11/22 5:55,2,0.990932634,5,No,1
9.25E+18,42.361649,-71.09047,42.364305,-71.084033,EAT,10/11/22 5:52,10/11/22 6:01,8,0.435360908,5,No,1
1.57E+19,42.389415,-71.119372,42.37395,-71.134758,EAT,10/11/22 5:54,10/11/22 5:58,4,2.224132606,5,No,1
1.57E+19,42.373154,-71.095093,42.36852678,-71.08357027,EAT,10/11/22 5:54,10/11/22 5:57,3,1.379988201,5,No,1
1.79E+19,42.364512,-71.082035,42.364369,-71.081379,EAT,10/11/22 5:54,10/11/22 5:58,3,0.190962014,5,No,1
1.65E+19,42.365675,-71.103734,42.38192206,-71.13205576,EAT,10/11/22 6:01,10/11/22 6:18,16,2.909008147,6,No,1
5.50E+18,42.388388,-71.118232,42.38216155,-71.11244918,EAT,10/11/22 6:02,10/11/22 6:20,18,0.969567129,6,No,1
3.39E+18,42.363323,-71.08247,42.35840397,-71.11301375,EAT,10/11/22 6:02,10/11/22 6:13,11,2.044856639,6,No,1
1.78E+19,42.36491,-71.08259,42.36602282,-71.08192419,EAT,10/11/22 6:03,10/11/22 6:05,2,0.105814112,6,No,1
1.91E+18,42.361649,-71.09047,42.354988,-71.103274,EAT,10/11/22 6:06,10/11/22 6:08,2,0.763271552,6,No,1
1.02E+19,42.372027,-71.120423,42.372069,-71.11994,EAT,10/11/22 6:10,10/11/22 6:13,2,0.110218082,6,No,1
1.57E+19,42.371281,-71.083318,42.36822024,-71.08160982,EAT,10/11/22 6:11,10/11/22 6:12,1,0.547380812,6,No,1
9.21E+17,42.37196,-71.075408,42.365631,-71.104452,EAT,10/11/22 6:15,10/11/22 6:21,5,2.750073716,6,No,1
